title,address,description,compensation,employment type
Construction Estimator.....temp to perm....NYC,,"Our client, a construction management firm located here in Manhattan, is looking for a quality Estimator to join its team on a temp to perm basis.  The selected candidate will have at least 5 years of estimator experience……experience using On Screen Takeoff program software is a must…some position duties appear below……..a civil engineering degree is preferred…….for consideration, please send resume in Word………



Prepare estimates by calculating complete takeoffs of scope of work, work collaboratively with groups to discuss feasibility, contact subcontractor to provide bids for trades, prepares subcontractor evaluations and commercial estimates per bid procedure, process and distributes all R.F.I.s for estimating and job addendums and prepare the proposal to submit to the client.
Read and review blueprints and specifications to form a scope of work for every trade. Perform quantity takeoffs for the various materials by using On Screen Takeoff program. Secure bids for each trade, then quantify their scope and pricing. Summarize, compare and level several quotes from trade arriving with best
price for the project. Create procedures for tracking, distributing and maintaining of all the project documentation.","100,000.00 to 125,000.00",contract
PROJECT MANAGER,Astoria,"Aluminum windows and Doors company looks for Project Manager with excellent AutoCAD/Graphic and communication skills. 
leading crew and fabrication production of multiple projects. 
Responsibilities include,
Coordinating and developing construction documents
Review and analyzes drawings
Coordinate meetings with consultants and clients
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand materials and products
Create estimates and time plans 
Requirements:
Have 2+ years professional experience 
Have applicable knowledge of AutoCAD and other applicable industry software
Have an understanding of construction codes Capable of detailing building components and construction processes
Compensation and Benefits:
•	We offer a salary commensurate with experience, and a creativity 
Interested candidates should forward their cover letter and resume",Negotiable,full-time
Estimator,Queens,"Fast growing Queens based company looking for a competent/diligent estimator to prepare accurate estimates for projects. 

Responsibilities include but not limited to:

 Analyze blueprints and written specifications for pricing to aid management in bidding on and or determining value of project. 
Understanding the project and it’s requirements. 
 Be able to review and perform full breakdowns of construction drawings, specifications and bid forms. 
Determine key variables for cost and other factors. 
Conduct research to obtain data on labor costs, materials, production times etc. 
Use software for data analysis, forecasting and budgeting. 
Perform risk analysis. 
Create and submit estimate reports or bids to appropriate persons. 
Provide consultation on planning. 
Submit 100% of bids by bid deadline. 

Requirements:

Proven experience/schooling as estimator. 
Familiarity with financial and project management principles. 
Knowledge of research and data analysis methods and estimation formulas. 
Proficient in relevant software. 
Excellent communication and negotiation abilities. 
Must have excellent organizational skills as well as thoroughness and reliability. 
Self motivated, seeks long range advancement. 
CPE (Certified Professional Estimator) will be an asset. 

Salary negotiable.",Salary negotiable.,full-time
Mechanical Engineer,Manhattan,"Mechanical Engineer

We are a full-service Mechanical, Electrical and Plumbing Engineering Consulting firm with multiple locations throughout the United States. Our New York City office is seeking a Mechanical Engineer to work on a wide variety of commercial and high tech buildings. 

Responsibilities:

Designing HVAC systems, load calculations, scheduling and selecting equipment, specification writing & construction administration. 
Completing Commissioning and HVAC inspections in the field. 
Research, develop, and design mechanical systems and processes to meet client requirements while applying engineering principles.
Read and interpret blueprints, technical drawings, schematics and computer generated reports. 
Become a complementary member of our team as a whole, and on a project-by-project basis;
Produce work using computer aided design/drafting hardware and software.
Work on several projects at one time.
Field measure and document existing buildings
Produce and coordinate construction drawings with other disciplines.

Salary Range: 75,000.00  to 115,000.00 
Bonus plan, Full Benefits & Vacation Days.



Job Requirements

Requirements:

Bachelor's Degree in Mechanical Engineering.
Minimum of 4+years of HVAC design, preferred emphasis in commercial, labs, data centers and high tech buildings.
Strong communication, report writing, organization, analytical and interpersonal skills;
Working knowledge of the design standards and codes for NYC building design;
A high level of technical and organizational skill accompanied by strong oral and written communication;
Working knowledge of design software (AutoCAD MEP, Trane Trace), Revit MEP preferred;
Working knowledge of standard computer software, such as Excel and Word.","95,000.00 to 135,000.00",full-time
AV/ IT Design Engineer,New York City,"Audiovisual Design Engineer

We are looking for a Senior AV Design Engineer to work within our Technology consulting practice. Reporting to the principal in charge, this position will focus on leading needs analysis and technology visioning with key clients, as well as leading our internal consulting teams and supporting our clients during all phases of our projects.

Responsibilities include:

Direct involvement in all aspects and phases of audio visual projects (i.e. programming, design, construction administration, etc.) 
Attend internal and client meetings as needed both onsite and remote 
Provide direction and create red lines / sketches to / for production team members and perform QC checks on all deliverables prior to release to clients, architects, construction firms, integrators, etc. 
Create and document AV budgets for projects 
Develop AV system designs and perform all necessary engineering tasks to ensure the designs meet client needs, expectations, and budgets 
Create, QC, and issue equipment lists, system drawings, details, system specifications, etc. 
Work in collaboration with the project manager to ensure the design intent, client needs / must haves, and any field design notes are covered by the system design 
Ensure industry best practices and company standards are used consistently and effectively 
Participate in building and maintaining company standards by conducting lessons learned sessions, by continuing education, and by participating in R&D for new products 
Oversee system integrator efforts as required 
Review submissions and shop drawings 
Respond to RFIs as required 
Assist directly and indirectly with all aspects of site coordination as needed 
Assist directly and indirectly with technical aspects of the system and with system commissioning as required 
Assist directly and indirectly with creation, maintenance, and updating punch lists as required 
Assist directly and indirectly with end user / client training, as required 
Review as-built and closeout documentation for accuracy 
Other duties as assigned

Required Qualifications

Expert knowledge of industry standards in AV system design and integration 
Excellent knowledge of trending technologies available today 
Excellent understanding of different technologies and the ability to properly identify the best solution based on the needs analysis 
Minimum 3 years of experience with designing and engineering AV systems 
Good understanding of heat loads, power requirements, lighting and acoustical environments and their effects on AV system design 
Good understanding of control system programming, GUI design, and the effects it has on AV system design 
Good understanding of audio principles for the purpose of AV design 
Good understanding of collaboration technologies and the options available (i.e. video conferencing end points, soft codecs, instant messaging applications, online meeting services, etc.) 
Familiarity with small, medium, and large scale projects 
Strong math aptitude and logical analysis skills 
Strong interpersonal skills that foster a team environment 
Ability to problem solve independently with a sense of urgency 
Excellent communication skills both verbally and in writing 
Be detail oriented and organized while being able to multitask and shift priorities with ease 
Working knowledge of AutoCAD software 
Working knowledge of various Microsoft Office tools (Word, Excel, Power Point) 
CTS Certification at a minimum and CTS-D certification mandatory within 12 months of employment
Desired Qualifications but NOT REQUIRED 

Infocomm CTS-D, CTS-I or CTS certification 
Any Infocomm training / education 
PMP certification 
AV manufacturer or industry related training and certifications (i.e. SynAudCon, Crestron, Extron, Biamp, etc.) 
Experience with IT and / or Security system design / integration 
Experience with control system programming 
Experience with indoor / outdoor digital signage technologies 
Any technology consulting experience

Full Benefits, Vacation, Sick Days, Bonuses, 401K plan","75,000.00 to 105,000.00",full-time
Project Coordinator / Intermediate Architect,Midtown West,"In our small Midtown Manhattan office environment, every team member works directly with the principal--and gains exposure to all aspects of architectural and interior design practice. Our portfolio reflects diverse projects that range from ground-up development and corporate interiors to brownstones, restaurants, and places of worship. 

We're looking to hire a technically adept Intermediate Architect capable of assuming some project management responsibilities. The role will require the following skill set and characteristics:

4 -- 6 years of experience and strong technical skills (design and drawing).
Proficiency in Revit design and production. 
Strong written and oral communication skills.
Self-motivated, dedicated, detail-oriented, adaptable, and efficient.
Site survey and construction documentation experience.
Some flexibility to put in extra hours when needed.
Knowledge of New York City zoning codes, building codes, and DOB permit application process desirable.
Bachelor's degree in Architecture.",Commensurate with experience and criteria indicated.,full-time
Construction Inspector - Civil/Structural,,"If you are bold. If you are willing to be original and take risks. If you want to make a difference by improving our infrastructure, then you should be an AV-ator! Alta Vista Solutions nurtures its AV-ators to perform as leaders in our industry, providing innovative engineering solutions and embracing our clients’ challenges as our own. Our mission is to Do Right and give back, while providing a great place to work for our professionals who provide solutions for some of the country’s biggest and most complex infrastructure projects. If you want to make an impact; if you want to solve problems; if you want to have fun while learning and growing; then join Alta Vista and become an AV-ator. 
 
Job Summary: 
 
Alta Vista Solutions is seeking a construction inspector with prior experience on bridges and roadways or rail for project on Long Island and in and around New York Metro Area. This individual will be performing inspections of the construction activities including concrete, steel, and rail work. 
 
Key Responsibilities: 
 
Perform inspection of contractor’s work to ensure construction activities are in accordance with plans, specifications, and contractual requirements. 
Perform and/or observe on-site material testing. 
Read and comprehend contract documents (i.e. plans, specifications, shop drawings). 
Provide thorough inspection reports and maintain detailed records of work performed. 
Perform additional duties as assigned. 
 
Minimum Qualifications: 

High School Diploma or GED required 
Minimum 5 years construction inspection required 
Experience as Construction Inspector on bridge or rail projects required 
NICET certification preferred 
OSHA 10 or 30 hour training preferred 
Experience with LIRR, NYSDOT, MNR, TBTA or other local agencies preferred",TBD on hire,full-time
Goshow Architects seeks Project Architects to join our team in New Yor,Battery Park,"Does the practice of architecture excite you? Are you an architect who thrives on helping your coworkers and clients to achieve their best? Are you looking to have an impact on a team of smart, talented, and super fun people? Are you looking to strike the perfect balance between professional and personal obligations and aspirations? If so, we want to meet you!

Our Project Architects are intermediate level design professionals who act as assistant team leaders responsible for technical and design aspects of our projects. They develop high-quality design and construction documents through hands-on work and coordinate all project issues with consultants, and manage production staff through efficient task delegations and leadership.

DESIRED EXPERIENCE

5+ years of experience in Architecture office (2-3 years minimum preparing construction documents)
Experience in developing and designing complex & custom details and following them through the construction phase.
Experience developing, organizing, and exercising quality control over drawings and drawing sets
Experience with consultant coordination and ability to recognize deficiencies in consultant-provided content .
Experience conducting material research and meeting vendors to understand materials and products.
Experience “redlining” drawings and delegating production work while being conscious of project deadlines, fees, and contractual obligations.
Experience with oversight and mentorship of junior-level staff through completion of submissions.
Experience organizing and leading site visits and surveys.
DESIRED SKILLS / EDUCATION / CERTIFICATIONS

Professional degree in Architecture Required (B.Arch or M.Arch)
Strong communication & organization skills
Strong time management skills
Advanced knowledge of AutoCAD and Revit
Strong understanding of NYC/NYS codes and NYC zoning regulations
Strong knowledge of building construction, materials, and systems
Licensed Architects preferred
LEED accredited Preferred
Public sector experience preferred
 
To apply, e-mail your cover letter, resume and work samples to jobs@goshow.com.  Please put Project Architect in the subject line.",DOE,full-time
Goshow Architects seeks Project Managers to join our team in New York,New York City,"Does the practice of architecture excite you?  Are you an architect who thrives on helping your co-workers to achieve their best?  Are you looking to have an impact on a team of smart, talented, and super fun people?  If so, we want to meet you!  

We are seeking a licensed design professional with a passion for leading, mentoring and collaborating to join our team as a Project Manager.

This person oversees the design, production and administration of multiple and/or complex projects.  

This person is directly responsible both to the client and the firm for successful execution of the project. 

And equally important, this person will lead multi-generational project teams and therefore must be a great communicator and fun person to be around.

NOTE: Ideally, we are looking for candidates licensed in the U.S. with Public Sector architecture experience.

Qualifications:

Registered Architect in the U.S.
Professional degree in Architecture
5 - 20 years of hands-on project management experience.
Thorough knowledge of architectural design, drafting, detailing, building materials, building codes, construction techniques and costs.
Knowledge of CADD, basic knowledge of 3D computer modeling software
Proven experience in effectively leading a project team.
Strong analytical, oral and written communication skills with the ability to build quick rapport with all levels of employees, clients, consultants and vendors.
**Local candidates within the NYC metro and surrounding region only**

Goshow Architects is a New York based architectural firm founded on the principle that architects have a social responsibility to design healthy and sustainable environments to work, learn, and live in.  

 
To apply, e-mail your cover letter, resume and work samples to jobs@goshow.com.  Please put PROJECT MANAGER in the subject line.",DOE,full-time
Project Architect - 1 to 5 yrs exp,TriBeCa,"Rodman Paul Architects are a small architecture and interiors firm with an office in Tribeca. We have a broad portfolio of work mostly in the tri-state area (Manhattan, Long Island, Upstate NY) with an occasional project outside the New York Area.

We are currently looking for project architects and project team members: Project Architect, 1-5 years of office experience

-ARCHITECTURE DEGREE (B Arch or M Arch)
-In-office experience drafting construction drawings for high end residential apartments or NYC multi-family housing
-Strong visual and verbal communication skills
-Ability to confidently work directly with our design team, owners and contractors on multiple projects
-Legal US work status
-Proficient in AutoCAD 2D 

Link to company portfolio: www.rodmanpaul.com
 
Please submit a cover letter and resume w/ salary request. If you choose to submit work samples, limit file size to 5mb’s. No phone calls, please.",Based on experience,full-time
AudoCad Drafter,Fairfield County Ct,"Design firm is seeking part time as needed AutoCad drafter for hospitality projects. Occasional meetings at our offices required.
Candidates must:
-Architectural knowledge a plus
-Millwork experience
-Sketch up/photo shop
-Well organized/detail oriented 
-Draft new projects and modify existing drawings

Qualified candidates please send resume.
-",Based on experience,part-time
Architectural Designer,Midtown West,"A unique opportunity is now open for an Architect Designer. The ideal candidate has wide ranging skills that encompasses a very strong sense of aesthetics that are combined with extensive technical, presentation and building application experience. Developed communication skills plus the passion and ability to apply those to a wide variety and diverse range of different building programs is required.

Requirements:
• Bachelor's Degree or Higher 
• 5 Years of Experience
• Experience with AutoCAD and Adobe Suite
• 3D Modeling and visualization skills
• Passion for visual conceptualization, aesthetics, and creativity
• Collaborative attitude

Candidates must submit samples of work representative of their design, cover letter and resume.
Candidates who cannot submit examples of their design work will not be considered.

Compensation and Benefits:
• We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment. 
• Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plan, 
• Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning",Competitive Salary - DOE,full-time
HealthCare Architect,Midtown West,"SBLM is seeking a HealthCare Architect to run, direct and manage our Healthcare & Wellness Studio. 

Requirements
•	Minimum of ten years’ experience in HealthCare 
•	College Degree, specialized training and work experience
•	Knowledge of codes and industry standard guidelines
•	Strong written and verbal skills
•	Demonstrated leadership skills including self-direction

Compensation and Benefits:
• We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment. 
• Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plan and more… 
• Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning",salary commensurate with experience,full-time
Document Reviewer,Midtown West,"SBLM seeks a Document Reviewer responsible for ensuring construction drawings are of the highest quality and consistency through monitoring the progress of the project from inception to completion. 

Responsibilities:
Reviews drawings for errors, inconsistencies and quality
Marks up drawings with corrections and changes for the team
Meets with project team to explain errors, corrections and changes
Assists project manager in coordinating architectural drawings with consultant drawings
Provides assistance to AutoCad manager with training for drafters when necessary
Checks drawing specifications for consistency and accuracy

Qualifications:
College degree, specialized training and work experience.
Demonstrated leadership skills including self-direction.
Ability to quickly grasp technical concepts and develop the appropriate approach.
Strong understanding of various quality assurance technologies 

Requirements:
Minimum of 5 years demonstrated experience 
Proficiency in AutoCAD
Knowledge of building codes, accessibility codes and local laws
Knowledge of building design, materials and construction methods
Understands Structural, Mechanical, MEP and other consultant’s drawings 
Ability to communicate with clarity
Must be able to engage multiple teams effectively and drive quality best practices

Compensation and Benefits:
• We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment. 
• Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plan and more… 
• Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning",salary commensurate with experience,full-time
Architectural Metal Cost Estimator,East Williamsburg,"Long established fine metal fabrication company using the latest technology including state of the art lasers, CAD/​CAM, waterjets, shears, numerical punching machines, press brakes, engineering, and a diverse workforce seeking candidates with Mechanical Engineering background.
This position is not for square foot take off construction estimating or project management.  


This position entails a number of responsibilities and requires familiarity with a variety of disciplines as summarized below:

Reading, interpreting and understanding drawings (CAD) and hard copy
Preparing manufacturing labor and material cost estimates for projects, including liaison with manufacturing, engineering, purchasing and sales to provide the most cost effective process.​
Corresponding and quoting customers relating to their project and to clarify project information
Communicating with architects, designers, contractors, manufacturers (OEM) etc
Corresponding with vendors to determine costs related to raw materials and purchased services
Responsible for follow up of quotes
Developing and maintaining good customer relationships

This position requires the following skills:
Ability to read architectural drawings and blueprints (CAD and hard copy).​
Strong command of basic math, trigonometry and geometry is required.​
Ability to problem solve
Strong team player with excellent people and communication skills
Ability to learn quickly.​
Experience in sheet metal/​manufacturing industry is very helpful
General computer literacy
Constant customer contact via telephone and email.

We offer a challenging, exciting work environment with competitive salary, bonus opportunity and excellent benefits.​ We also provide ample room for professional development and growth!


Please reference the job title in the subject line.
Please submit a cover letter.

When attaching a resume file, please include your first and last name in the file name to facilitate retrieval 
(eg. JohnSmithResume.doc not Resume1.doc).
RESUMES NOT NAMED IN THIS MANNER WILL NOT BE PROCESSED AND REVIEWED.",Based on experience,full-time
ESTIMATOR - DRYWALL & CEILINGS,,"We are a Brooklyn based commercial union drywall & acoustical contractor seeking candidates to become part of our estimating team. We are looking to hire at both junior & senior levels.

Responsibilities include:
1) Preliminary review of bid documents for each project.
2) Communication with general contractors regarding PFl's & questions.
3) Completing quantity take offs using On Screen Take Off + Quick Bid.
4) Gathering & understanding of supplier & specialty item pricing.
5) Completing scope review plus site visits with clients
6) Analysis of drawing revisions
7) Organizational skills which allow you to meet deadlines & multi task.

Salary will be commensurate with experience.
Full Medical, Dental and Vision included.

401K matching and participation.

All inquiries are confidential

Job Type: Full-time",Salary will be commensurate with experience.,full-time
EXPERIENCED ARCHITECT,QUEENS,"LOOKING TO HIRE EXPERIENCED ARCHITECT MUST KNOW AND BE ABLE TO DO NYC  ZONING CALCULATIONS,  CODES REVIEW  AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH  DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. 

REQUIREMENTS:
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings 
- Must have knowledge of NYC zoning and building codes
- Must be able to develop design concepts into a full set of construction drawings independently
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants
- Strong AutoCad skills 
- Must be able to manage multiple projects EMAIL YOUR RESUME.",BASED ON EXPERIENCE,full-time
"Field Super, Project Coord, & Admin",Bed Stuy,"We are a Brooklyn based Commercial Ornamental Metal & Glass Sub Contractor that has been in the business for over 10 years. We have projects located within the five boroughs and work with all the major General Contractors in the City. We are certified with City, Empire State, MTA and SCA as a minority business.
 
We are seeking motivated candidates who are self-starters, proactive, and problem solvers to grow and advance within our team.  We are looking to hire both Junior and Senior levels, with Bachelors Degree.  Please send a resume and a cover letter with salary requirement and examples of previous work.
 
Field Supervisor/Construction Supervisor

Roles and Responsibilities:

·         Visit multiple job sites to oversee work performed by on-site crews or by vendors or subcontractors off-site for fabrication and assembly work
·         Perform quality control inspections and make sure work is done according to contractual requirements and specifications
·         Develop and manage schedule for project scope
·         Manage on-site labor - Confirm hours worked and sign off on time cards
·         Manage small tool inventory and, where applicable, oversee equipment rentals
·         Receive deliveries and supplies on site
·         Interface with project managers and other trades on site to make sure work is performed as planned.
·         Attend meetings on site and at client’s offices (SCA/MTA) and interface with project managers and clients.
 
Qualifications, Requirements and Experience:

·         Able to read and follow construction drawings/blueprints and specifications
·         Experience with overseeing site crew on a construction project
·         Experience with the installation of ornamental metals & glass, metal finishing and fabrication
·         Familiar with MTA Track Training
·         Must maintain OSHA 30 and other required certifications
·         Have strong written and oral communication skills
·         Must be detail-oriented, adaptable and efficient
·         Must be able to perform initial site surveys
·         Must have a driver’s license
 
·         Proficiency in MS Office and CADD
·         At least 3 years’ experience in architectural construction
·         Candidates should have a certification or a degree in or related to the following fields: Architecture, Engineering, Project Management, Construction Management.
 
Project Coordinator

Roles and Responsibilities:

·         Create project proposals from templates and vendor/contractor quotes
·         Create submittal packages for project materials and scope
·         May be required to do drawings or schematics for small projects
·         Request and follow up on quotes for work from vendors or contractors
·         Send drawings out to vendors and contractors for pricing
·         Perform architectural take offs, including labor and material
 
Qualifications, Requirements and Experience:

·         Driver’s license
·         Able to read and interpret construction drawings/blueprints and specifications
·         Must have knowledge of the miscellaneous steel industry
·         Familiar with the ornamental metals & glass and metal finishing
·         Must have strong written and oral communication skills
·         Able to meet demands and deadlines
·         Strong leadership and interpersonal skills
·         Must be proficient in MS Office, Adobe Acrobat, and CADD
·         At least 3 years’ experience in architectural construction
·         Candidates should have a certification or a degree in or related to the following fields: Architecture, Engineering, Project Management, Construction Management.
 
Administrative Assistant

Roles and Responsibilities:

·         Prepare and track certify payroll MTA/SCA, both manually and electronically
·         Prepare and track union dues, both manually and electronically
·         Regular payroll on ADP & QuickBooks
·         AP/AR
·         Prepare and AIA Schedule of Values
·         Track business invoices – payments and billing
·         Prepare project documentation: quotes, proposals, transmittal sheets, contracts, RFIs, and others as requested –        MS Excel, Outlook, PowerPoint, and Word
·         Put together and follow up on submittal packages for project materials and scope
·         Request and follow up on quotes for work from vendors or contractors
·         Place material and office supply orders including follow up on deliveries or returns
·         Assist with Audits, put together and provide documentation as requested
·         Send emails and other communications to clients, vendors and contractors
·         Organize and file office mail and other documentation
·         Answer office phones
 
Qualifications, Requirements and Experience:
          Bachelor Degree 
·         Driver’s license, a plus 
·         Must have strong written and oral communication skills
·         Able to meet demands and deadlines
·         Strong leadership and interpersonal skills
·         Must be proficient in MS Office, Adobe Acrobat, and Quickbooks
·         At least 3 years’ experience in architectural construction
·         The ability to read and interpret construction drawings/blueprints and specifications is a plus",Depend on Experience,full-time
NYC Architecture Firm seeking AutoCad Draftsman,Midtown,"Architecture firm seeking AutoCad draftsman. The ideal candidate for this position will have minimum 4  years experience with architecture and construction work in New York City with knowledge of Department of Buildings requirements. 

The following prerequisites are required:
- Proficiency in AutoCad and related computer drawing programs.
- Experience in architectural work in New York City 
- Familiarity with Department of Buildings plan examination requirements 
- Capable to conduct on site measurements for existing conditions plan preparation
- Familiarity with Building Codes.
- Prompt with Assigned Work.
- Able to legally work in the USA.

If you meet the above prerequisites kindly provide a copy of your resume for consideration.","45,000",full-time
Mechanical Designers,,"Mechanical Designers are sought to join an ambitious, well-funded interdisciplinary research group based in New York City.  These hires will work on the mechanical design and construction of new generations of our custom-built ANTON® supercomputer, collaborating with our team on all phases of system development, from concept to delivery.  This is a limited-term position with an anticipated 12-month contract.

Successful candidates will have expertise in sheet metal and machined part design, including hands-on prototyping and testing of chassis and enclosures, and modeling and drafting in SolidWorks and/or PTC Creo (Pro/Engineer).  They should have a demonstrated ability to design complex, rack-based electronic packaging systems with integrated power and cooling.  Other relevant experience might include plastics design and injection molding, creating assembly drawings, and resolution of DFM/DFA issues.  Excellent analytical and communication skills are required.

We take great pride in the caliber of our team, and we offer above-market compensation to candidates of exceptional ability.

Our research effort is aimed at achieving major scientific advances in the field of biochemistry and fundamentally transforming the process of drug discovery.

To submit an application, please use the link provided below:


D. E. Shaw Research is a New York-based interdisciplinary research group pursuing an ambitious, long-term project aimed at achieving major scientific advances in the fields of biochemistry and molecular biology.  Among the group's current activities is the development of specialized supercomputers designed in part to fundamentally transform the process of drug discovery.

D. E. Shaw Research is an equal opportunity employer, dedicated to the goal of building a diverse workforce. We welcome inquiries from all exceptionally well-qualified applicants, regardless of race, color, nationality, national or ethnic origin, religion or religious belief, caste, gender, gender identity, pregnancy, caregiver status, age, military service eligibility, veteran status, sexual orientation, marital or civil partner status, disability, or status in any other category protected in this regard by law in any jurisdiction in which the Firm operates.",Above Market,full-time
Drafting/Estimating Internship,Long Island City,"Our company is offering an internship for recent graduates/college students with Architectural, Construction Management or Engineering background and interested in real world experience in the Manufacturing Industry.

We are a top fabricator in the Northeast for custom metal facade and roofing components. Our Design & Estimating Department are looking for an individual who is interested in the business, design and developmental aspects of architecture. 

The internship program provides a unique opportunity to gain experience in:
-	Cost Estimation
-	Specs & CD
-	Marketing Strategy and PR
-	Fabrication
-	Installation and Field Relationship

We are looking for interns who are:
-	Self-motivated and able to receive/ use constructive criticism
-	Communicative; willing to ask questions, share their ideas 
-	Team Players willing to work with others
-	Punctual, reliable and responsible
-	Interested in architectural methods/materials in Roofing/Facade


Candidates must have knowledge of Microsoft Office, AutoCad, experience in Rhino is a plus! 
Interns must be present 20 hrs/week for 3 Months. Full time positions are available for best candidates.

This is not a paid internship however; a lunch and 75% travel stipend will be provided.

Please send a resume and work samples to Craigslist email listed.",Unpaid Internship,part-time
Junior/Intermediate Architect,,"We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.

Qualifications:

•	Be a US citizen or be permitted to work in the USA
•	Professional degree in Architecture
•	Skill in Autocad and presentation software. Revit capability a plus.
•	USA experience in design, detailing and construction administration.
•	Verbal and writing abilities.

Work description:

•	Participate in the design and production of multiple projects at all design and project administration phases.
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.
•	Communicate with in-house staff, consultants and clients.
•	Demonstrate skill in the use of drafting and presentation software.

We offer competitive salaries, health coverage and profit sharing.

Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.",Commensurate on experience,full-time
Interior Architectural Associate with Exceptional REVIT Experience,South Norwalk CT,"BEINFIELD ARCHITECTURE PC, an award-winning architecture firm, seeks professional with a B.Arch. or BFA degree and a minimum of 3 years’ experience to join our INTERIOR DESIGN team.

We are a full-service firm dedicated to client service and strong design.  Our work ranges from multi-family, commercial and hospitality to high-end residential.  Our culture is collaborative and creative.  We require a motivated designer with exceptional computer skills who takes ownership. 

Responsibilities may include involvement in all phases of design, including design development, finish selection, furniture selection, furniture procurement and presentations.  

You will primarily be working on multi-family, commercial and hospitality projects.

Requirements include:
• Revit Skills
• Strong Design Sense
• Working knowledge of finishes
• Familiarity with Adobe Photoshop and InDesign
• Strong communication skills, both written and spoken
• The ability to work both independently and collaboratively
• You must be local within a 50-mile radius and be able to commute to the office 5 days a week.


Please email your resume and portfolio link to:    resume @beinfield .com","Competive salary + benefits, BOE",full-time
Intern in M.E.P. Engineering,Brooklyn,"Looking for an Intern/entry level engineer for Plumbing and HVAC.

Strong knowledge of AutoCAD software and drafting skills required.
Knowledge of Fire Alarm, Sprinkler and Electrical a plus.

Knowledge of NYC Building Codes and NYC DOB a plus.

Must be able to multi-task. Must have excellent communication skills. Must be familiar with basic computer programs (Word and Excel) Must be self-motivated, a team player and detail oriented.",Competitive compensation based on skills/experience,full-time
NYC DOB Class 1 or 2 Filing Representative,Brooklyn,"Brooklyn Expediting firm seeks:
full-time position for a class 1 or 2 DOB expediting position

NYC DOB, NYC DOT, FDNY and NYC DEP familiarity required
NYC DOB Class 1 or 2 Filing Rep ID required

Required skills:
professional & motivated attitude
written and communication skills
standard Microsoft office suite familiarity

Responsibilities include:
Written reports / Paperwork
Expediting
Meeting with plan examiners
Client correspondence, etc.",Competitive compensation based on skills/experience,full-time
Junior Draftsman needed for part time work,Remote,"Requirements

Greetings, please read the requirements below and send all required documentation if interested:

-Must be proficient in 2D AutoCAD, must have licensed software -AutoCAD LT minimum
-Ideal work for student or generating additional income
-Please send samples of drawings in PDF format
-Please send resume and references
-Please send hourly rate for work
-Work can be conducted in the evening (weekdays) and weekends
-Looking for a quick turnaround on work
-Occasional meetings with principal of organization, most of work can be done remotely
-Positive and fun work environment 
-Looking to start work immediately.

-Phone and in-person interview will be required.",Candidate to submit proposed hourly rate,contract
High-End Residential Architect,SoHo,"Eminent design practice (40 people on staff) seeking an intermediate-level Architect with 4+ years of experience to work on ultra high-end residential projects for various A-list celebrities, Fortune500 CEOs, and elite socialites.  Projects budgets will typically exceed $100Million.  Ideal candidate will have experience working through all phases of projects including full CD production and custom millwork detailing.   Qualified candidates should apply with resume and work samples including detailed construction drawings.",$70-90K depending on experience level,full-time
Project Engineer position,Brooklyn,"Project Engineer position

- Proficient in AutoCAD (knowledge of SolidWorks and other drafting and modeling software is a plus)
- Must be computer literate with basic office software as well as other relevant programs (Autodesk, Adobe, etc)
- Will be required to learn fabrication software from Argadata and FP Pro (specific programs for window manufacturing)
- Understanding of how materials come together in reality is a must 
- Ability to multitask 
- Very detail oriented and careful
- Self driven and able to work under minimal supervision
- Ability to research for new products and solutions
- Russian is a plus
- Previous experience in aluminum and glazing industry is a plus",Long term career opportunity with competitive starting salary and paid holidays. We are a Drug Free Employer.,full-time
